No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
359 40960 275 15.6179 354  26.4105
360 41264 535 36.7654 506  41.5190
361 41272  75  3.3189 216  15.0358
362 41336 356 20.3792 341  24.8662
363 41392  52  2.0430  57   3.0801
364 41432  31  0.7673  25   1.0089
365 41440 118  5.3778  99   5.8943
366 41464 172  7.9041 147   8.6318
367 41512  68  2.9504  62   3.3790
368 41608  74  3.2454  82   4.8196
369 41680 770 78.6424 759  84.8142
370 41834 655 50.9510 615  55.0347
371 41848  34  0.8513  24   0.9433
372 42016 780 82.3009 760  84.9151
373 42280 549 38.1551 529  44.5686
374 42352 723 64.3743 736  78.2984
375 42392 744 68.3353 712  73.1254
376 42472 486 31.5190 564  47.7657
377 42648  30  0.7304  29   1.1744
378 42688 574 40.2962 596  52.1706
379 42968 378 22.0493 361  26.9906
380 42976 800 85.2833 795  86.8229
381 42984 357 20.4820 306  22.0736
382 43000 730 65.9962 735  78.2645
383 43064 170  7.8869 161   9.7837
384 43128 223 11.4915 200  12.8652
385 43232 712 59.7465 701  70.9367
386 43248 453 28.5775 396  30.3375
387 43408 121  5.3993 117   6.7175
388 43656 230 11.9342 206  13.1584
389 43816 251 13.9486 234  17.0683
390 43928 454 28.5955 420  32.7335
391 43944   3  0.0261  23   0.9366
392 43968 438 27.6684 445  35.5813
393 44400 422 25.9088 378  28.5382
394 44664 179  8.4848 165   9.9875
395 45568 582 41.1332 549  46.2139
396 45592 496 32.3890 424  33.3705
397 45992 150  6.8585 135   7.9463
398 46000  81  3.5091  74   4.2766
399 46072 372 21.5078 324  23.2458
400 46120 697 57.1361 803  79.6638
401 46216 367 21.2819 327  23.8417
402 46264 713 60.2161 697  70.2954
403 46376 211 10.7414 198  12.6199
404 46392 253 14.2678 287  20.9076
405 46400 742 68.2698 781  91.6255
406 46568 715 61.1890 694  69.5265
407 46592 488 31.5374 428  33.7697
408 46888 724 64.5846 720  75.0680
409 46944 609 44.5779 625  57.1703
410 47000 191  9.6863 178  11.0137
411 47064 622 47.4116 566  47.9694
412 47080 640 49.3854 613  54.4984
413 47248 749 70.0498 729  76.8904
414 47344 138  5.9576 414  32.1530
415 47400 326 18.5123 323  23.2185
416 47424 649 50.0671 718  74.3006
417 47472  20  0.4349  16   0.6354
418 47544 160  7.2798 187  11.5574
419 47672 232 12.3923 239  17.2806
420 47968 182  8.6851 191  11.9309
421 48000  78  3.3538  76   4.4886
422 48048 404 24.5618 748  81.4959
423 48176 360 20.8516 317  22.7239
424 48376 226 11.5954 209  13.9529
425 48448 130  5.7552 115   6.6551
426 48696 414 25.1006 383  29.0284
427 48704 215 10.8762 202  12.9688
