No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
252 27120  46   1.417164  34   1.46518
253 27360 646  63.978516 655  79.18542
254 27552  63   2.266098  50   2.45156
255 27688  51   1.571994  60   3.50662
256 27696  95   4.115408 150  11.46698
257 27712 498  42.662818 477  51.47604
258 27760 528  47.575191 595  68.94832
259 27784 475  40.588194 421  43.69233
260 28280 680  69.785728 672  82.17628
261 28520 658  66.336258 631  74.51664
262 28824 232  14.284174 641  75.78750
263 28960  92   3.963024  91   5.89253
264 29088 561  51.900432 510  57.19897
265 29232 196  11.320223 166  12.76310
266 29264 607  57.732292 546  61.98017
267 29392 752  89.491243 753  87.64151
268 29432 426  34.896556 398  40.68917
269 29512 173   9.890959 186  14.95755
270 29568 374  28.420882 418  43.18560
271 29592 590  55.113552 593  68.38228
272 29632 566  52.451416 525  59.15501
273 29732 425  34.839589 553  62.46454
274 29760 168   9.560068 143  10.75097
275 30016 343  25.082535 438  46.06827
276 30128 657  66.201092 584  66.69524
277 30280 231  14.232034 214  17.52726
278 30600  38   0.968224  27   0.95278
279 30728 778  86.453481 781  89.62101
280 30896 188  10.563698 155  11.86496
281 31082 266  16.976278 224  18.34336
282 31088 456  38.391709 489  53.51842
283 31192 683  70.639964 666  80.85904
284 31256  15   0.144541  14   0.27299
285 31328 354  26.337788 351  33.46176
286 31656 418  34.269402 390  39.85576
287 32032 353  25.841978 488  53.23334
288 32056 165   9.181773 160  12.16735
289 32080 753  89.771209 732  93.48254
290 32120 473  40.442976 452  48.17173
291 32688 537  48.511254 529  59.74220
292 32936 242  14.876537 211  17.16139
293 33000 340  24.604462 354  33.84763
294 33080 170   9.593597 148  11.35114
295 33088 212  12.731009 197  15.98575
296 33112  73   3.046746  74   4.06715
297 33200 614  59.633870 661  79.73472
298 33216 688  71.888637 723  91.41708
299 33312 626  60.587769 616  72.63358
300 33592 664  67.892315 678  83.03282
301 33744 293  19.665826 344  32.65087
302 34080 722  81.785735 726  91.87395
303 34664 575  53.259913 624  73.48774
304 35224 591  55.177464 659  79.40687
305 35408 508  44.016036 512  57.55149
306 35424 521  45.856296 484  52.34114
307 35488 337  24.489167 292  26.48882
308 35520 477  40.668758 446  47.43678
309 35576 310  21.090270 271  23.66133
310 35608 522  46.716123 502  56.55692
311 35624 567  52.548345 523  58.86556
312 35648 633  61.953173 607  70.94434
313 35896 574  53.200352 587  67.02875
314 35928 271  17.852242 236  19.63667
315 35960 687  71.860908 716  90.65326
316 36160 772  84.905257 759  87.93599
317 36192 565  52.433072 579  65.45649
318 36232 260  16.446887 419  43.18820
319 36288 427  35.121412 445  47.26420
320 36368 612  59.450069 599  69.68101
321 36592 609  57.932892 618  72.81014
322 36616 524  46.986320 555  62.54436
323 36640 781  87.897205 764  88.64521
